candidatename,party,age,gender,race,occupation,background,noofterms,currentconstituency,constituencycontesting,ready,leader,newcomer,bp1,bp2,bp3,dob,background2,ntuc,soleleader
Tan See Leng,PAP,55,M,C,Adviser to Temasek and DBS Bank,Healthcare,0,N/A,Marine Parade,Y,N,Y,Dr Tan See Leng is an adviser to Temasek Holdings and DBS Bank. He is a medical doctor and former chief executive of IHH Healthcare Berhad. ,He was first involved in grassroots activities in the 1990s when he was a GP in Kembangan.,He is contesting an election for the first time. ,1964,Banking_Finance_Investment,,
James Gomez,SDP,56,M,I,Regional director of Asia Centre,Research and academia_Education,0,N/A,Holland-Bukit Timah,Y,N,N,"Dr James Gomez is a political scientist and the regional director of Asia Centre, a think-tank based in Thailand and Malaysia.",He entered politics in 2006 and was a member of the WP.,"In GE2011, his SDP team lost with 36.1 per cent of the votes (47,605 votes) against a PAP team in Sembawang GRC.",1965-01-09T16:30:00.000Z,,,
Paul Tambyah,SDP,56,M,I,Doctor,Healthcare,0,N/A,Bukit Panjang,Y,N,N,Professor Paul Tambyah is an infectious diseases specialist and a professor of medicine at the NUS Yong Loo Lin School of Medicine.,He entered politics in 2011. He is the chairman of the SDP.,"In GE2015, his team lost with 33.4 per cent of the votes (31,494 votes) against a PAP team in Holland-Bukit Timah GRC.",1965-02-06T16:30:00.000Z,,,
Alec Tok ,RDU,55,M,C,Theatre director,Culture,0,N/A,Jurong,Y,N,N,Mr Alec Tok is a theatre and film director.,He is a former member of the SDP and entered politics in 2011.,"In GE2011, as an SDP candidate, he lost with 33.7 per cent of the votes (10,372 votes) against Dr Teo Ho Pin of the PAP in Bukit Panjang SMC.",,,,
Lim Tean,PV,56,M,C,Lawyer,Law,0,N/A,Jalan Besar,Y,Y,N,"Mr Lim Tean is a lawyer at Carson Law Chambers, which he founded.",He joined NSP in 2011 and became its secretary-general shortly before the 2015 General Election. He started Peoples Voice in 2018.,"In GE2015, his NSP team lost with 27.9 per cent of the votes (36,920 votes) against the PAP's Tampines GRC team.",1964-11-16T16:30:00.000Z,,,Y
Sri Nallakaruppan,PSP,56,M,I,Chartered accountant,Banking_Finance_Investment,0,N/A,Nee Soon,Y,N,Y,Mr Sri Nallakaruppan is a chartered accountant and an investment specialist.,He is the treasurer of the PSP.,He is contesting an election for the first time.,,,,
Kuswadi Atnawi,SDA,57,M,M,Electrical engineer,IT and engineering,0,N/A,Pasir Ris-Punggol,Y,N,Y,Mr Kuswadi Atnawi is an electrical engineer.,,He is contesting an election for the first time.,,,,
Nadarajah Loganathan,PSP,57,M,I,Trainer,Police_Military,0,N/A,West Coast,Y,N,Y,"Mr Nadarajah Loganathan is the co-founder of skills training firm Acuate, which primarily trains SAF servicemen. ",He was previously an SAF signals officer.,He is contesting an election for the first time.,,,,
Tan Meng Wah,PSP,57,M,C,Lecturer,Research and academia_Education,0,N/A,Chua Chu Kang,Y,N,Y,Dr Tan Meng Wah is an industry consultant who teaches at Nanyang Technological University. ,He is a former research fellow at the Institute of Policy Studies.,He is contesting an election for the first time.,,,,
Chee Soon Juan,SDP,58,M,C,Author,Research and academia_Education,0,N/A,Bukit Batok,Y,Y,N,Dr Chee Soon Juan is an author and a former psychology lecturer at NUS. He has been the secretary-general of the SDP since 1993.,"He entered politics in 1992, contesting the Marine Parade GRC by-election. He has since stood in two by-elections and three general elections.","In the 2016 Bukit Batok by-election, he lost with 38.8 per cent of the votes (9,150 votes) against Mr Murali Pillai of the PAP.",1962-07-19T16:30:00.000Z,,,Y
Yadzeth Hairis,NSP,57,M,M,Business development director,Business,0,N/A,Sembawang,Y,N,N,Mr Yadzeth Hairis is a business development director.,He is a long-time member of the NSP and entered politics as a candidate in the 1997 General Election. His second general election was in 2015.,"In GE2015, his team lost with 27.7 per cent of the votes (37,087 votes) against a PAP team in Sembawang GRC.",,,,
Mohamad Ridzwan Mohammad,NSP,58,M,M,Manager in construction sector,Business,0,N/A,Tampines,Y,N,Y,Mr Mohamad Ridzwan Mohammad is an associate director in a construction consulting firm.,He is the vice-president of the NSP.,He is contesting an election for the first time.,,,,
Gilbert Goh,PV,59,M,C,Activist,Charity_social service,0,N/A,Pasir Ris-Punggol,Y,Y,N,"Mr Gilbert Goh is a social activist and founder of Transitioning.org, a support site for unemployed people. He is a former member of the NSP and RP.",He is known for having organised various protests at Speakers' Corner in Hong Lim Park. He entered politics in 2011 as an NSP candidate.,"In GE2015, his RP team lost with 21.4 per cent of the votes against a PAP team in Ang Mo Kio GRC.",1961-07-30T16:30:00.000Z,,,
Victor Lye ,PAP,58,M,C,CEO of Pivot Fintech,Banking_Finance_Investment,0,N/A,Aljunied,Y,Y,N,Mr Victor Lye Thiam Fatt is the founder and chief executive of financial services firm Pivot Fintech.,He is the chairman of the PAP's Bedok Reservoir-Punggol branch and an adviser to grassroots organisations in Aljunied.,"In GE2015, his team lost with 49.1 per cent of the votes (67,317 votes) against the WP's Aljunied GRC team led by Mr Low Thia Khiang.",,,,
Leong Mun Wai,PSP,60,M,C,CEO of Timbre Capital,Banking_Finance_Investment,0,N/A,West Coast,Y,N,Y,Mr Leong Mun Wai is the founder and chief executive of investment firm Timbre Capital.,He is the assistant secretary-general of the PSP.,He is contesting an election for the first time.,,,,
Harish Pillay,PSP,60,M,I,Chief technology architect,IT and engineering,0,N/A,Tanjong Pagar,Y,N,Y,Mr Harish Pillay is the head of community architecture and leadership and chief technology architect at IT firm Red Hat Singapore.,,He is contesting an election for the first time.,,,,
"Jireh ""Simon"" Lim",PV,61,M,C,Private-hire vehicle driver,Others,0,N/A,Pasir Ris-Punggol,Y,N,Y,Mr Jireh Lim is a private-hire vehicle driver. He is also known to his friends as Simon Lim.,,He is contesting an election for the first time.,,,,
Kenneth Jeyaretnam,RP,61,M,O,Former hedge fund manager,Banking_Finance_Investment,0,N/A,Ang Mo Kio,Y,Y,N,Mr Kenneth Jeyaretnam is a former hedge fund manager.,"He entered politics in 2011. He is the secretary-general of the RP, which was founded by his father, the late J.B. Jeyaretnam.","In GE2015, his team lost with 21.4 per cent of the votes (19,426 votes) to a PAP team in West Coast GRC.",,,,Y
Mohamed Nassir Ismail,PV,63,M,M,University lecturer,Research and academia_Education,0,N/A,Pasir Ris-Punggol,Y,N,Y,Mr Mohamed Nassir Ismail is a university lecturer.,,He is contesting an election for the first time.,,,,
Ang Yong Guan,PSP,65,M,C,Psychiatrist,Healthcare,0,N/A,Marymount,Y,N,N,Dr Ang Yong Guan is a psychiatrist who runs his own practice. He entered politics in 2011 under the SDP banner. ,He later founded the SingFirst party with Mr Tan Jee Say before joining the PSP.,"In GE2015, his SingFirst team lost with 22.3 per cent of the votes (25,953 votes) against the PAP's Tanjong Pagar GRC team.",,,,
Leong Sze Hian,PV,67,M,C,Financial adviser,Banking_Finance_Investment,0,N/A,Jalan Besar,Y,N,Y,Mr Leong Sze Hian is financial adviser and former president of the Society of Financial Service Professionals Singapore. He is a prolific blogger.,He gained public recognition after he was sued for defamation by Prime Minister Lee Hsien Loong over an article he shared on Facebook in 2018.,He is contesting an election for the first time.,1953-11-22T16:30:00.000Z,,,
Tan Jee Say,SDP,67,M,C,Investment adviser,Banking_Finance_Investment,0,N/A,Holland-Bukit Timah,Y,N,N,Mr Tan Jee Say is an investment adviser and a former civil servant. He was a candidate in the 2011 presidential election.,He left the SDP in 2015 to form the Singaporeans First party with Dr Ang Yong Guan. He recently dissolved his party and rejoined the SDP.,"In GE2015, his SingFirst team lost with 22.3 per cent of the votes (25,998 votes) against a PAP team in Tanjong Pagar GRC.",1954-02-11T16:30:00.000Z,,,
Abas Kasmani,PSP,67,M,M,Senior trainer at design and engineering firm,IT and engineering,0,N/A,Tanjong Pagar,Y,N,Y,Mr Abas Kasmani is a senior trainer at a design and engineering firm.,,He is contesting an election for the first time.,,,,
Abdul Rahman Mohamad,PSP,67,M,M,Engineer,IT and engineering,0,N/A,Chua Chu Kang,Y,N,N,Mr Abdul Rahman Mohamad is a fire safety engineer.,He entered politics in 2006 and was a member of the SDA. He is a founding member of the PSP and a member of its central executive committee.,"In GE2006, his SDA team lost with 31.5 per cent of the votes (36,948 votes) against a PAP team in Tampines GRC.",,,,
Abu Mohamed,SDA,69,M,M,PKMS president,Others,0,N/A,Pasir Ris-Punggol,Y,N,N,"Mr Abu Mohamed is president of the Singapore Malay National Organisation (PKMS), a component party of the SDA.",He first contested an election in 2015. He is the secretary-general of the SDA.,"In GE2015, his team lost with 27.1 per cent of the votes (46,550 votes) against a PAP team in Pasir Ris-Punggol GRC.",,,,
Francis Yuen ,PSP,70,M,C,Former Hong Leong Asia CEO,Business,0,N/A,Chua Chu Kang,Y,Y,Y,Mr Francis Yuen is the former chief executive of industrial conglomerate Hong Leong Asia and a former air force colonel.,He is a member of the PSP's central executive committee.,He is contesting an election for the first time.,,Police_Military,,
Ivan Yeo ,NSP,72,M,C,Business consultant,Business,0,N/A,Sembawang,Y,N,N,Mr Ivan Yeo is a business consultant. He is the former manager of an investment firm.,He entered politics in 2011 and is the treasurer of the NSP.,"In GE2011, his team lost with 43.4 per cent of the votes (59,926 votes) against a PAP team in Marine Parade GRC.",,,,
Sebastian Teo,NSP,73,M,C,Consultant,Business,0,N/A,Sembawang,Y,N,N,Mr Sebastian Teo is the managing director of a consultancy firm.,He entered politics in 2001 and was a member of the SDA.,"In GE2015, his team lost with 27.9 per cent of the votes (36,943 votes) against a PAP team in Tampines GRC.",,,,
Tan Cheng Bock,PSP,81,M,C,Retired doctor,Healthcare,0,N/A,West Coast,Y,Y,N,"Dr Tan Cheng Bock, now retired, was a PAP MP for Ayer Rajah SMC from 1980 to 2006.",His old ward is now part of West Coast GRC. He is the founder and secretary-general of the PSP.,"In his last election, GE2001, he won 88 per cent of the votes (15,024 votes) against Mr Tan Lead Shake of the DPP in Ayer Rajah SMC.",1940-04-25T16:40:00.000Z,,,Y
Lee Hsien Loong,PAP,69,M,C,MP,Police_Military,8,Ang Mo Kio GRC,Ang Mo Kio,Y,Y,N,"Mr Lee Hsien Loong is Prime Minister of Singapore. He previously served as Minister for Trade and Industry, Finance Minister and Deputy Prime Minister.",He entered politics in 1984. He is the secretary-general of the PAP.,"In GE2015, his team won 78.6 per cent of the votes (135,115 votes) against an RP team in Ang Mo Kio GRC.",1952-02-09T16:30:00.000Z,,,Y
K. Shanmugam,PAP,62,M,I,MP,Law,7,Nee Soon GRC,Nee Soon,Y,Y,N,Mr K. Shanmugam is Minister for Law and Home Affairs. He was previously a senior partner in the law firm Allen & Gledhill.,He entered politics in 1988. He is treasurer of the PAP.,"In GE2015, his team won 66.8 per cent of the votes (82,197 votes) against a WP team.",1959-03-25T16:30:00.000Z,,,
S. Iswaran,PAP,59,M,I,MP,Business,5,West Coast GRC,West Coast,Y,Y,N,Mr S. Iswaran is Minister for Communications and Information and Minister-in-charge of Trade Relations and Cyber Security. ,"He entered politics in 1997 and, at age 34, was one of the youngest PAP candidates to be fielded then.","In GE2015, his team won 78.6 per cent of the votes (71,091 votes) against an RP team.",1962-06-13T16:30:00.000Z,,Y,
Teo Chee Hean,PAP,66,M,C,MP,Police_Military,5,Pasir Ris-Punggol GRC,Pasir Ris-Punggol,Y,Y,N,Mr Teo Chee Hean is Senior Minister and Coordinating Minister for National Security. He is a former chief of navy.,"He retired from the military and entered politics in 1992, when then PM Goh Chok Tong called a by-election in Marine Parade GRC.","In GE2015, his team won 72.9 per cent of the votes (125,021 votes) against an SDA team.",1954-12-26T16:30:00.000Z,,,
Maliki Osman,PAP,55,M,M,MP,Research and academia_Education,4,East Coast GRC,East Coast,Y,N,N,Dr Maliki Osman is Senior Minister of State for Defence and Foreign Affairs. He was previously a social work and psychology professor at NUS.,He entered politics in 2001. He is Mayor of South East District.,"In GE2015, his team won 60.7 per cent of the votes (54,981 votes) against a WP team in East Coast GRC.",1965-07-18T16:30:00.000Z,,,
Indranee Rajah,PAP,58,F,I,MP,Law,4,Tanjong Pagar GRC,Tanjong Pagar,Y,N,N,"Ms Indranee Rajah is Minister in the Prime Minister's Office and Second Minister for Finance, and Education. She is a former lawyer.",She entered politics in 2001. She is a member of the PAP's central executive committee.,"In GE2015, her team won 77.7 per cent of the votes (90,448 votes) against a SingFirst team.",1963-04-11T16:30:00.000Z,,,
Heng Chee How,PAP,59,M,C,MP,Police_Military,4,Jalan Besar GRC,Jalan Besar,Y,N,N,Mr Heng Chee How is Senior Minister of State for Defence. He was a police force scholarship holder.,He entered politics in 1997 and contested Hougang SMC but lost to the WP's Low Thia Khiang. He was first elected in 2001.,"In GE2015, his team won 67.7 per cent of the votes (63,561 votes) against a WP team in Jalan Besar GRC.",1961-07-13T16:30:00.000Z,,Y,
Vivian Balakrishnan,PAP,60,M,I,MP ,Healthcare,4,Holland-Bukit Timah GRC,Holland-Bukit Timah,Y,Y,N,Dr Vivian Balakrishnan is Minister for Foreign Affairs and Minister-in-charge of the Smart Nation initiative. He is a former ophthalmologist.,He entered politics in 2001. He is a member of the PAP's central executive committee.,"In GE2015, his team won 66.6 per cent of the votes (62,630 votes) against an SDP team in Holland-Bukit Timah GRC.",1961-01-24T16:30:00.000Z,,,
Gan Kim Yong,PAP,62,M,C,MP,IT and engineering,4,Chua Chu Kang GRC,Chua Chu Kang,Y,Y,N,Mr Gan Kim Yong is Minister for Health. He is an electrical engineer by training and was previously president and chief executive of NatSteel.,He entered politics in 2001 with a walkover victory in the now-defunct Holland-Bukit Panjang GRC. He is chairman of the PAP.,"In GE2015, his team won 76.9 per cent of the votes (84,731 votes) against a PPP team in Chua Chu Kang GRC.",1959-02-08T16:30:00.000Z,,,
Ng Eng Hen,PAP,62,M,C,MP,Healthcare,4,Bishan-Toa Payoh GRC,Bishan-Toa Payoh,Y,Y,N,Dr Ng Eng Hen is Minister for Defence. He is a former surgical oncologist.,He entered politics in 2001. He is a member of the PAP's central executive committee.,"In GE2015, his team won 73.6 per cent of the votes (86,514 votes) against an SPP team in Bishan-Toa Payoh GRC.",1958-12-09T16:30:00.000Z,,,
Amy Khor,PAP,63,F,C,MP,Real estate,4,Hong Kah North SMC,Hong Kah North,Y,N,N,"Dr Amy Khor is Senior Minister of State for Health, and Environment and Water Resources. She holds a PhD in land management.",She is a former director at estate agency Knight Frank. She entered politics in 2001 and was elected in the now-dissolved Hong Kah GRC.,"In GE2015, she won 74.8 per cent of the votes (19,628 votes) against Mr Ravi Philemon of the SPP.",1958-02-22T16:30:00.000Z,,,
Tharman Shanmugaratnam,PAP,64,M,I,MP,Banking_Finance_Investment,4,Jurong GRC,Jurong,Y,Y,N,Mr Tharman Shanmugaratnam is Senior Minister and Coordinating Minister for Social Policies. He is also chairman of the Monetary Authority of Singapore.,He entered politics in 2001 and has defended Jurong GRC since. His team in 2015 garnered the highest vote share among all constituencies.,"In GE2015, his team won 79.3 per cent of the votes (95,080 votes) against a SingFirst team.",1957-02-24T16:30:00.000Z,,,
Christopher De Souza,PAP,45,M,O,MP and lawyer,Law,3,Holland-Bukit Timah GRC,Holland-Bukit Timah,Y,N,N,"Mr Christopher De Souza is an intellectual property lawyer at legal firm Lee and Lee, which was founded by the late Mr Lee Kuan Yew.",He entered politics in 2006. He is a member of the PAP's central executive committee.,"In GE2015, his team won 66.6 per cent of the votes (62,630 votes) against an SDP team in Holland-Bukit Timah GRC.",1976-01-20T16:30:00.000Z,,,
Zaqy Mohamad,PAP,46,M,M,MP,Business,3,Chua Chu Kang GRC,Marsiling-Yew Tee,Y,N,N,Mr Zaqy Mohamad is Minister of State for National Development and Manpower. He is a former partner at consultancy Ernst & Young.,He entered politics in 2006. He was appointed Deputy Government Whip in 2019.,"In GE2015, his team won 76.9 per cent of the votes (84,731 votes) against a PPP team.",1974-09-14T16:30:00.000Z,,,
Baey Yam Keng,PAP,50,M,C,MP,Business,3,Tampines GRC,Tampines,Y,N,N,"Mr Baey Yam Keng is Senior Parliamentary Secretary for Transport, and Culture, Community and Youth.","He entered politics in 2006. In 2012, he quit his job as managing director of Hill+Knowlton Strategies to be a full-time MP.","In GE2015, his team won 72.1 per cent of the votes (95,202 votes) against an NSP team.",1970-08-30T16:30:00.000Z,Culture,,
Lam Pin Min,PAP,51,M,C,MP,Healthcare,3,Sengkang West SMC,Sengkang,Y,N,N,"Dr Lam Pin Min is Senior Minister of State for Transport, and Health. He is an aviation medicine specialist and ophthalmologist.",He entered politics in 2006.,"In GE2015, he won 62.1 per cent of the votes (17,564 votes) against Mr Koh Choong Yong of the WP in the now-defunct Sengkang West SMC.",1969-08-31T16:30:00.000Z,,,
Lim Wee Kiak,PAP,52,M,C,MP and doctor,Healthcare,3,Sembawang GRC,Sembawang,Y,N,N,"Dr Lim Wee Kiak is an ophthalmologist and group chief executive of the Eagle Eye Centre clinics, which he co-founded.",He entered politics in 2006.,"In GE2015, his team won 72.3 per cent of the votes (96,639 votes) against an NSP team.",1968-12-26T16:30:00.000Z,,,
Josephine Teo ,PAP,52,F,C,MP,Civil service,3,Bishan-Toa Payoh GRC,Jalan Besar,Y,Y,N,Mrs Josephine Teo is Minister for Manpower and Second Minister for Home Affairs. ,She worked in human resources at stat boards and the NTUC before entering politics in 2006. She is a member of the PAP's central executive committee.,"In GE2015, her team won 73.6 per cent of the votes (86,514 votes) against an SPP team in Bishan-Toa Payoh GRC.",1968-07-07T16:30:00.000Z,,Y,
Muhammad Faishal Ibrahim,PAP,53,M,M,MP and educator,Research and academia_Education,3,Nee Soon GRC,Nee Soon,Y,N,N,"Dr Muhammad Faishal Ibrahim is Senior Parliamentary Secretary for Education, and Social and Family Development. ",He is a former associate professor of real estate at NUS. He entered politics in 2006.,"In GE2015, his team won 66.8 per cent of the votes (82,197 votes) against a WP team.",1968-06-15T16:30:00.000Z,,,
Jessica Tan ,PAP,55,F,C,MP and businesswoman,Business,3,East Coast GRC,East Coast,Y,N,N,Ms Jessica Tan is the group commercial director of Raffles Medical Group. She was previously a managing director at Microsoft Singapore.,She entered politics in 2006.,"In GE2015, her team won 60.7 per cent of the votes (54,981 votes) against a WP team in East Coast GRC.",1966-05-27T16:30:00.000Z,,,
Sylvia Lim ,WP,56,F,C,MP and lawyer,Law,3,Aljunied GRC,Aljunied,Y,N,N,Ms Sylvia Lim is a criminal lawyer and senior associate at law firm Peter Low & Choo.,She became a Non-Constituency MP in 2006 and was part of the WP team that won Aljunied GRC in 2011. She is the chairman of the WP.,"In GE2015, her team won 51 per cent of the votes (69,929 votes) against a PAP team in Aljunied GRC.",1965-03-27T16:30:00.000Z,,,
Grace Fu ,PAP,57,F,C,MP,Business,3,Yuhua SMC,Yuhua,Y,N,N,"Ms Grace Fu is Minister for Culture, Community and Youth. She was previously the chief executive of PSA South-East Asia and Japan.",She entered politics in 2006 and was the first female minister to helm her own ministry. She is an organising secretary of the PAP.,"In GE2015, she won 73.5 per cent of the votes (15,298 votes) against Ms Jaslyn Go of the SDP.",1964-03-28T16:30:00.000Z,,,
Liang Eng Hwa,PAP,57,M,C,MP and banker,Banking_Finance_Investment,3,Holland-Bukit Timah GRC,Bukit Panjang,Y,N,N,Mr Liang Eng Hwa is a banker and managing director of treasury and markets at DBS Bank.,He entered politics in 2006.,"In GE2015, his team won 66.6 per cent of the votes (62,630 votes) against an SDP team in Holland-Bukit Timah GRC.",1964-03-19T16:30:00.000Z,,,
Lim Biow Chuan,PAP,58,M,C,MP and lawyer,Law,3,Mountbatten SMC,Mountbatten,Y,N,N,"Mr Lim Biow Chuan is a lawyer and director of law firm BC Lim & Lau, which he co-founded. ",He entered politics in 2006. He is Deputy Speaker of Parliament.,"In GE2015, he won 71.8 per cent of the votes (15,290 votes) against Ms Jeannette Chong-Aruldoss of the SPP.",1963-05-21T16:30:00.000Z,,,
Masagos Zulkifli,PAP,58,M,M,MP,Business,3,Tampines GRC,Tampines,Y,Y,N,Mr Masagos Zulkifli is Minister for the Environment and Water Resources and Minister-in-charge of Muslim Affairs.,He was chief executive of SingTel Global Offices before entering politics in 2006. He is the vice-chairman of the PAP.,"In GE2015, his team won 72.1 per cent of the votes (95,202 votes) against an NSP team.",1963-04-15T16:30:00.000Z,,,
Seah Kian Peng,PAP,59,M,C,MP and trade unionist,Civil service,3,Marine Parade GRC,Marine Parade,Y,N,N,Mr Seah Kian Peng is the group chief executive of NTUC Enterprise and FairPrice Group. ,"Before joining the NTUC, he was in the Administrative Service of the civil service. He entered politics in 2006.","In GE2015, his team won 64.1 per cent of the votes (84,939 votes) against a WP team.",1961-12-04T16:30:00.000Z,,Y,
Denise Phua ,PAP,61,F,C,MP and businesswoman,Charity_social service,3,Jalan Besar GRC,Jalan Besar,Y,N,N,Ms Denise Phua is president of the non-profit Autism Resource Centre. She has also held various corporate management roles.,She entered politics in 2006. She is Mayor of Central Singapore District.,"In GE2015, her team won 67.7 per cent of the votes (63,561 votes) against a WP team in Jalan Besar GRC.",1959-12-08T16:30:00.000Z,,,
Tin Pei Ling,PAP,37,F,C,MP and businesswoman,Business,2,MacPherson SMC,MacPherson,Y,N,N,Ms Tin Pei Ling is the chief executive of Business China and a former business and management consultant at Ernst & Young.,"She entered politics in 2011. Then 27, she was the PAP's youngest candidate and later the youngest MP in the 12th and 13th Parliaments.","In GE2015, she won 65.6 per cent of the votes (17,227 votes) against Mr Bernard Chen Jiaxi of the WP and NSP candidate Cheo Chai Chen.",1983-12-22T16:00:00.000Z,,,
Alex Yam,PAP,40,M,C,MP and trade unionist,Others,2,Marsiling-Yew Tee GRC,Marsiling-Yew Tee,Y,N,N,"Mr Alex Yam is an adviser to the United Workers of Petroleum Industry's union. Before becoming an MP, he was a grassroots activist for 10 years. ",He entered politics in 2011.,"In GE2015, his team won 68.7 per cent of the votes (68,485 votes) against an SDP team.",1981-06-19T16:30:00.000Z,,Y,
Vikram Nair,PAP,42,M,I,MP and lawyer,Law,2,Sembawang GRC,Sembawang,Y,N,N,Mr Vikram Nair is a commercial lawyer and partner at law firm Rajah & Tann. He heads the firm's India desk.,He entered politics in 2011.,"In GE2015, his team won 72.3 per cent of the votes (96,639 votes) against an NSP team.",1978-07-17T16:30:00.000Z,,,
Pritam Singh,WP,44,M,I,MP and lawyer,Law,2,Aljunied GRC,Aljunied,Y,Y,N,Mr Pritam Singh is an advocate and solicitor in law firm Satwant Singh & Associates.,He entered politics in 2011 as part of the WP team that contested and won Aljunied GRC. He is secretary-general of the WP.,"In GE2015, his team won 51 per cent of the votes (69,929 votes) against a PAP team in Aljunied GRC.",1976-08-01T16:30:00.000Z,,,Y
Desmond Lee,PAP,44,M,C,MP,Law,2,Jurong GRC,West Coast,Y,N,N,Mr Desmond Lee is Minister for Social and Family Development and Second Minister for National Development. He is a former lawyer.,The law graduate and former civil servant entered politics in 2011. He is an organising secretary of the PAP.,"In GE2015, his team won 79.3 per cent of the votes (95,080 votes) against a SingFirst team in Jurong GRC.",1976-07-14T16:30:00.000Z,,,
Faisal Manap,WP,46,M,M,MP and counsellor,Charity_social service,2,Aljunied GRC,Aljunied,Y,N,N,Mr Faisal Manap is a freelance counsellor.,He entered politics in 2011. He is the vice-chairman of the WP.,"In GE2015, his team won 51 per cent of the votes (69,929 votes) against a PAP team in Aljunied GRC.",1975-06-05T16:30:00.000Z,,,
Low Yen Ling,PAP,46,F,C,MP,Banking_Finance_Investment,2,Chua Chu Kang GRC,Chua Chu Kang,Y,N,N,Ms Low Yen Ling is Senior Parliamentary Secretary for Manpower and Education. She is a former banker.,She entered politics in 2011. She is Mayor of South West District.,"In GE2015, her team won 76.9 per cent of the votes (84,731 votes) against a PPP team in Chua Chu Kang GRC.",1974-08-16T16:30:00.000Z,,,
Sim Ann,PAP,46,F,C,MP,Civil service,2,Holland-Bukit Timah GRC,Holland-Bukit Timah,Y,N,N,"Ms Sim Ann is Senior Minister of State for Communications and Information, and Culture, Community and Youth. ",She is a former civil servant. She entered politics in 2011 and was appointed Deputy Government Whip in 2015.,"In GE2015, her team won 66.6 per cent of the votes (62,630 votes) against an SDP team in Holland-Bukit Timah GRC.",1975-03-11T16:30:00.000Z,,,
Janil Puthucheary,PAP,48,M,I,MP and doctor,Healthcare,2,Pasir Ris-Punggol GRC,Pasir Ris-Punggol,Y,N,N,"Dr Janil Puthucheary is Senior Minister of State for Transport, and Communications and Information. He is a paediatrician.",He entered politics in 2011. He was appointed Government Whip in 2019.,"In GE2015, his team won 72.9 per cent of the votes (125,021 votes) against an SDA team.",1972-11-05T16:30:00.000Z,,,
Lawrence Wong,PAP,48,M,C,MP,Civil service,2,Marsiling-Yew Tee GRC,Marsiling-Yew Tee,Y,Y,N,Mr Lawrence Wong is Minister for National Development and Second Minister for Finance. He is a former civil servant.,He entered politics in 2011. He is a member of the PAP's central executive committee.,"In GE2015, his team won 68.7 per cent of the votes (68,485 votes) against an SDP team.",1972-12-17T16:30:00.000Z,,,
Patrick Tay,PAP,49,M,C,MP and trade unionist,Police_Military,2,West Coast GRC,Pioneer,Y,N,N,Mr Patrick Tay is an assistant secretary-general of NTUC and a former policeman.,He entered politics in 2011.,"In GE2015, his team won 78.6 per cent of the votes (71,091 votes) against an RP team.",1971-11-30T16:30:00.000Z,,Y,
Chan Chun Sing,PAP,51,M,C,MP,Police_Military,2,Tanjong Pagar GRC,Tanjong Pagar,Y,Y,N,Mr Chan Chun Sing is Minister for Trade and Industry. He was previously chief of army and held the rank of major-general.,He entered politics in 2011. He is second assistant secretary-general of the PAP.,"In GE2015, his team won 77.7 per cent of the votes (90,448 votes) against a SingFirst team.",1969-10-08T16:30:00.000Z,,Y,
Edwin Tong ,PAP,51,M,C,MP and lawyer,Law,2,Marine Parade GRC,Marine Parade,Y,N,N,Mr Edwin Tong is Senior Minister of State for Law and Health. He is a former partner in law firm Allen & Gledhill.,He entered politics in 2011 and was elected in the now-defunct Moulmein-Kallang GRC.,"In GE2015, his team won 64.1 per cent of the votes (84,939 votes) against a WP team.",1969-08-11T16:30:00.000Z,,,
Tan Chuan-Jin,PAP,52,M,C,MP,Police_Military,2,Marine Parade GRC,Marine Parade,Y,Y,N,Speaker of Parliament Tan Chuan-Jin is a former minister. He was previously an SAF brigadier-general.,He retired from the military and entered politics in 2011. He is a member of the PAP's central executive committee.,"In GE2015, his team won 64.1 per cent of the votes (84,939 votes) against a WP team.",1969-01-09T16:30:00.000Z,,,
Gan Thiam Poh,PAP,57,M,C,MP and banker,Banking_Finance_Investment,2,Ang Mo Kio GRC,Ang Mo Kio,Y,N,N,Mr Gan Thiam Poh is a banker and senior vice-president of private banking at DBS Bank.,He entered politics in 2011.,"In GE2015, his team won 78.6 per cent of the votes (135,115 votes) against an RP team in Ang Mo Kio GRC.",1963-10-22T16:30:00.000Z,,,
Sitoh Yih Pin,PAP,57,M,C,MP and accountant,Banking_Finance_Investment,2,Potong Pasir SMC,Potong Pasir,Y,N,N,"Mr Sitoh Yih Pin is a chartered accountant and chairman of public accounting firm Nexia TS, which he co-founded.","He first contested Potong Pasir SMC in 2001 but lost against opposition veteran Chiam See Tong. He won it in 2011 against Mr Chiam's wife, Lina.","In GE2015, he won 66.4 per cent of the votes (10,581 votes) against Mrs Lina Chiam of the SPP.",1963-12-01T16:30:00.000Z,,,
Heng Swee Keat,PAP,60,M,C,MP,Civil service,2,Tampines GRC,East Coast,Y,Y,N,Mr Heng Swee Keat is Deputy Prime Minister and Finance Minister. He was previously the managing director of the Monetary Authority of Singapore.,He entered politics in 2011. He is first assistant secretary-general of the PAP and is tipped to be the next prime minister.,"In GE2015, his team won 72.1 per cent of the votes (95,202 votes) against an NSP team.",1961-04-14T16:30:00.000Z,,,
